True_Label,Ideal_Probability,Ideal_Prediction,bit_flip_Probability,bit_flip_Prediction,phase_flip_Probability,phase_flip_Prediction,depolarizing_Probability,depolarizing_Prediction,readout_Probability,readout_Prediction
0,0.232421875,0,0.248046875,0,0.220703125,0,0.236328125,0,0.236328125,0
0,0.0810546875,0,0.1328125,0,0.0771484375,0,0.1318359375,0,0.08984375,0
1,0.8955078125,1,0.8486328125,1,0.9091796875,1,0.859375,1,0.88671875,1
0,0.26171875,0,0.2958984375,0,0.267578125,0,0.2763671875,0,0.2626953125,0
1,0.896484375,1,0.84375,1,0.890625,1,0.8603515625,1,0.8837890625,1
1,0.3330078125,0,0.3623046875,0,0.34375,0,0.3642578125,0,0.3359375,0
0,0.1572265625,0,0.169921875,0,0.166015625,0,0.171875,0,0.1650390625,0
1,0.869140625,1,0.810546875,1,0.8671875,1,0.8251953125,1,0.861328125,1
0,0.3681640625,0,0.37109375,0,0.36328125,0,0.3681640625,0,0.3720703125,0
1,0.951171875,1,0.9111328125,1,0.951171875,1,0.9111328125,1,0.9365234375,1
0,0.255859375,0,0.28515625,0,0.2568359375,0,0.2685546875,0,0.2578125,0
0,0.38671875,0,0.416015625,0,0.396484375,0,0.4111328125,0,0.3876953125,0
0,0.07421875,0,0.12109375,0,0.076171875,0,0.10546875,0,0.078125,0
1,0.8349609375,1,0.7978515625,1,0.828125,1,0.798828125,1,0.8310546875,1
0,0.15625,0,0.16796875,0,0.158203125,0,0.1689453125,0,0.162109375,0
0,0.759765625,1,0.7314453125,1,0.771484375,1,0.7470703125,1,0.7548828125,1
1,0.96484375,1,0.9013671875,1,0.962890625,1,0.9150390625,1,0.9541015625,1
1,0.9189453125,1,0.869140625,1,0.9140625,1,0.89453125,1,0.90625,1
1,0.9453125,1,0.9091796875,1,0.9580078125,1,0.91796875,1,0.94140625,1
1,0.9931640625,1,0.9365234375,1,0.9912109375,1,0.9580078125,1,0.982421875,1
0,0.599609375,1,0.5771484375,1,0.595703125,1,0.5888671875,1,0.58984375,1
0,0.771484375,1,0.740234375,1,0.7734375,1,0.7451171875,1,0.771484375,1
0,0.068359375,0,0.1474609375,0,0.0673828125,0,0.12890625,0,0.078125,0
1,0.6689453125,1,0.6484375,1,0.669921875,1,0.64453125,1,0.6689453125,1
1,0.9970703125,1,0.9423828125,1,0.9921875,1,0.958984375,1,0.9853515625,1
0,0.046875,0,0.103515625,0,0.0419921875,0,0.0849609375,0,0.0546875,0
0,0.52734375,1,0.5146484375,1,0.533203125,1,0.5224609375,1,0.5234375,1
0,0.513671875,1,0.513671875,1,0.5224609375,1,0.517578125,1,0.5107421875,1
0,0.48828125,0,0.4970703125,0,0.4873046875,0,0.4912109375,0,0.4873046875,0
1,0.9580078125,1,0.90234375,1,0.9599609375,1,0.916015625,1,0.9462890625,1
1,0.814453125,1,0.765625,1,0.82421875,1,0.7783203125,1,0.810546875,1
1,0.990234375,1,0.9150390625,1,0.9873046875,1,0.9453125,1,0.9814453125,1
1,0.84765625,1,0.8193359375,1,0.8544921875,1,0.8447265625,1,0.84375,1
0,0.26953125,0,0.294921875,0,0.2734375,0,0.283203125,0,0.271484375,0
0,0.09765625,0,0.138671875,0,0.1142578125,0,0.15234375,0,0.10546875,0
1,0.99609375,1,0.94140625,1,0.9970703125,1,0.95703125,1,0.9892578125,1
0,0.3857421875,0,0.4267578125,0,0.3876953125,0,0.4228515625,0,0.384765625,0
0,0.3720703125,0,0.3759765625,0,0.384765625,0,0.3671875,0,0.376953125,0
1,0.9541015625,1,0.91015625,1,0.94921875,1,0.92578125,1,0.9462890625,1
1,0.615234375,1,0.6220703125,1,0.62109375,1,0.623046875,1,0.6162109375,1
1,0.958984375,1,0.9111328125,1,0.953125,1,0.91796875,1,0.9462890625,1
1,0.75390625,1,0.7822265625,1,0.763671875,1,0.8017578125,1,0.7490234375,1
0,0.4736328125,0,0.494140625,0,0.4697265625,0,0.49609375,0,0.4765625,0
0,0.0126953125,0,0.0732421875,0,0.0146484375,0,0.05078125,0,0.0234375,0
0,0.22265625,0,0.25390625,0,0.2216796875,0,0.2373046875,0,0.234375,0
0,0.19921875,0,0.2119140625,0,0.2021484375,0,0.2177734375,0,0.2109375,0
0,0.458984375,0,0.4599609375,0,0.462890625,0,0.46875,0,0.458984375,0
1,0.7666015625,1,0.7294921875,1,0.7509765625,1,0.7294921875,1,0.7607421875,1
1,0.9794921875,1,0.9248046875,1,0.9765625,1,0.9443359375,1,0.9697265625,1
1,0.3642578125,0,0.384765625,0,0.3671875,0,0.38671875,0,0.369140625,0
0,0.01953125,0,0.083984375,0,0.017578125,0,0.0517578125,0,0.0283203125,0
0,0.0634765625,0,0.1015625,0,0.06640625,0,0.095703125,0,0.0673828125,0
1,0.9912109375,1,0.923828125,1,0.986328125,1,0.9462890625,1,0.978515625,1
1,0.98046875,1,0.9189453125,1,0.9794921875,1,0.943359375,1,0.9716796875,1
0,0.0703125,0,0.123046875,0,0.078125,0,0.1025390625,0,0.0830078125,0
1,0.9453125,1,0.8818359375,1,0.9423828125,1,0.9033203125,1,0.93359375,1
0,0.328125,0,0.3623046875,0,0.330078125,0,0.33203125,0,0.3271484375,0
1,0.4326171875,0,0.4423828125,0,0.4375,0,0.453125,0,0.4365234375,0
0,0.1650390625,0,0.203125,0,0.1748046875,0,0.19140625,0,0.1689453125,0
0,0.3994140625,0,0.427734375,0,0.4111328125,0,0.4306640625,0,0.4033203125,0
1,0.97265625,1,0.919921875,1,0.96875,1,0.9404296875,1,0.9619140625,1
1,0.296875,0,0.328125,0,0.2939453125,0,0.3251953125,0,0.2978515625,0
1,0.7001953125,1,0.6787109375,1,0.705078125,1,0.6982421875,1,0.693359375,1
0,0.0751953125,0,0.109375,0,0.0732421875,0,0.1015625,0,0.087890625,0
1,0.9873046875,1,0.92578125,1,0.9912109375,1,0.94140625,1,0.98046875,1
0,0.212890625,0,0.2470703125,0,0.2275390625,0,0.240234375,0,0.2197265625,0
1,0.0712890625,0,0.1318359375,0,0.072265625,0,0.125,0,0.0810546875,0
1,0.73828125,1,0.7001953125,1,0.736328125,1,0.7021484375,1,0.734375,1
1,0.791015625,1,0.7607421875,1,0.80078125,1,0.7783203125,1,0.783203125,1
0,0.146484375,0,0.1826171875,0,0.1435546875,0,0.16015625,0,0.158203125,0
1,0.8564453125,1,0.7998046875,1,0.8642578125,1,0.8232421875,1,0.8486328125,1
0,0.0244140625,0,0.0732421875,0,0.0234375,0,0.068359375,0,0.03515625,0
0,0.7353515625,1,0.7138671875,1,0.7333984375,1,0.732421875,1,0.7255859375,1
1,0.1552734375,0,0.1728515625,0,0.1474609375,0,0.173828125,0,0.1650390625,0
1,0.8818359375,1,0.84765625,1,0.8916015625,1,0.857421875,1,0.876953125,1
0,0.2314453125,0,0.251953125,0,0.21484375,0,0.23828125,0,0.240234375,0
0,0.787109375,1,0.744140625,1,0.7861328125,1,0.7529296875,1,0.78125,1
0,0.6337890625,1,0.62890625,1,0.6494140625,1,0.638671875,1,0.6357421875,1
1,0.80859375,1,0.7646484375,1,0.8037109375,1,0.7802734375,1,0.8017578125,1
0,0.0068359375,0,0.04296875,0,0.009765625,0,0.0380859375,0,0.0146484375,0
1,0.689453125,1,0.6611328125,1,0.6884765625,1,0.673828125,1,0.6865234375,1
0,0.009765625,0,0.0615234375,0,0.009765625,0,0.0478515625,0,0.0205078125,0
0,0.0908203125,0,0.13671875,0,0.103515625,0,0.123046875,0,0.099609375,0
0,0.72265625,1,0.6962890625,1,0.7314453125,1,0.7255859375,1,0.7216796875,1
0,0.0625,0,0.1220703125,0,0.0712890625,0,0.11328125,0,0.072265625,0
0,0.0048828125,0,0.07421875,0,0.0029296875,0,0.0546875,0,0.013671875,0
0,0.00390625,0,0.06640625,0,0.0048828125,0,0.0380859375,0,0.01953125,0
0,0.517578125,1,0.5244140625,1,0.515625,1,0.5234375,1,0.515625,1
1,0.9912109375,1,0.9267578125,1,0.9931640625,1,0.94921875,1,0.9775390625,1
0,0.15625,0,0.1923828125,0,0.1484375,0,0.18359375,0,0.1591796875,0
0,0.16015625,0,0.1796875,0,0.158203125,0,0.1640625,0,0.169921875,0
0,0.1552734375,0,0.173828125,0,0.1611328125,0,0.1806640625,0,0.162109375,0
0,0.0478515625,0,0.1103515625,0,0.046875,0,0.103515625,0,0.052734375,0
0,0.2119140625,0,0.2236328125,0,0.2001953125,0,0.216796875,0,0.2197265625,0
0,0.3271484375,0,0.3447265625,0,0.3251953125,0,0.3291015625,0,0.3349609375,0
0,0.0966796875,0,0.1337890625,0,0.1044921875,0,0.1328125,0,0.103515625,0
0,0.0029296875,0,0.0625,0,0.0048828125,0,0.046875,0,0.0185546875,0
1,0.8720703125,1,0.8154296875,1,0.876953125,1,0.8447265625,1,0.8681640625,1
1,0.6650390625,1,0.6494140625,1,0.6669921875,1,0.6591796875,1,0.6650390625,1
0,0.046875,0,0.087890625,0,0.0478515625,0,0.0654296875,0,0.0546875,0
0,0.3251953125,0,0.34765625,0,0.328125,0,0.32421875,0,0.3291015625,0
1,0.9921875,1,0.9326171875,1,0.994140625,1,0.94140625,1,0.9833984375,1
0,0.0087890625,0,0.0732421875,0,0.009765625,0,0.05078125,0,0.0166015625,0
0,0.3291015625,0,0.3486328125,0,0.3349609375,0,0.341796875,0,0.330078125,0
1,0.7900390625,1,0.7421875,1,0.7861328125,1,0.7509765625,1,0.7861328125,1
1,0.90234375,1,0.845703125,1,0.9052734375,1,0.8408203125,1,0.900390625,1
0,0.0234375,0,0.080078125,0,0.0205078125,0,0.0654296875,0,0.033203125,0
0,0.462890625,0,0.4638671875,0,0.4697265625,0,0.4677734375,0,0.4638671875,0
0,0.0126953125,0,0.0810546875,0,0.0146484375,0,0.0703125,0,0.02734375,0
1,0.9873046875,1,0.92578125,1,0.9921875,1,0.931640625,1,0.982421875,1
1,0.5341796875,1,0.5205078125,1,0.5380859375,1,0.525390625,1,0.5361328125,1
1,0.3583984375,0,0.373046875,0,0.353515625,0,0.365234375,0,0.3623046875,0
0,0.1962890625,0,0.2509765625,0,0.2041015625,0,0.2314453125,0,0.1982421875,0
1,0.9013671875,1,0.85546875,1,0.90234375,1,0.8779296875,1,0.8896484375,1
1,0.974609375,1,0.9287109375,1,0.9814453125,1,0.9365234375,1,0.9716796875,1
0,0.0029296875,0,0.0576171875,0,0.0048828125,0,0.0654296875,0,0.01953125,0
0,0.052734375,0,0.109375,0,0.060546875,0,0.103515625,0,0.064453125,0
1,0.6591796875,1,0.634765625,1,0.6572265625,1,0.6337890625,1,0.6572265625,1
1,0.958984375,1,0.900390625,1,0.9599609375,1,0.9150390625,1,0.9453125,1
1,0.8505859375,1,0.794921875,1,0.845703125,1,0.8017578125,1,0.841796875,1
0,0.3759765625,0,0.40234375,0,0.3828125,0,0.40625,0,0.380859375,0
1,0.9208984375,1,0.85546875,1,0.9228515625,1,0.8662109375,1,0.9111328125,1
1,0.8232421875,1,0.7958984375,1,0.8251953125,1,0.8046875,1,0.818359375,1
1,0.9951171875,1,0.9423828125,1,0.9970703125,1,0.951171875,1,0.9833984375,1
0,0.677734375,1,0.658203125,1,0.6748046875,1,0.6611328125,1,0.6767578125,1
0,0.28515625,0,0.287109375,0,0.28515625,0,0.291015625,0,0.28515625,0
0,0.0126953125,0,0.078125,0,0.009765625,0,0.0625,0,0.0263671875,0
0,0.58203125,1,0.5703125,1,0.5849609375,1,0.572265625,1,0.5791015625,1
0,0.3125,0,0.337890625,0,0.32421875,0,0.333984375,0,0.3134765625,0
1,0.7783203125,1,0.7626953125,1,0.78125,1,0.7744140625,1,0.775390625,1
0,0.146484375,0,0.171875,0,0.1572265625,0,0.1689453125,0,0.1513671875,0
1,0.9443359375,1,0.9150390625,1,0.939453125,1,0.92578125,1,0.9345703125,1
1,0.955078125,1,0.91015625,1,0.9599609375,1,0.923828125,1,0.947265625,1
0,0.8291015625,1,0.818359375,1,0.833984375,1,0.8310546875,1,0.82421875,1
0,0.2197265625,0,0.2529296875,0,0.2275390625,0,0.2392578125,0,0.22265625,0
0,0.3408203125,0,0.3212890625,0,0.3369140625,0,0.33203125,0,0.3427734375,0
1,0.974609375,1,0.931640625,1,0.9765625,1,0.9365234375,1,0.9658203125,1
1,0.9619140625,1,0.9140625,1,0.955078125,1,0.9296875,1,0.955078125,1
0,0.123046875,0,0.173828125,0,0.1240234375,0,0.1689453125,0,0.1328125,0
1,0.9404296875,1,0.8984375,1,0.94921875,1,0.90234375,1,0.9326171875,1
0,0.12109375,0,0.1611328125,0,0.119140625,0,0.146484375,0,0.1298828125,0
1,0.8955078125,1,0.8388671875,1,0.8916015625,1,0.849609375,1,0.88671875,1
1,0.7158203125,1,0.705078125,1,0.720703125,1,0.7109375,1,0.7109375,1
1,0.962890625,1,0.8984375,1,0.966796875,1,0.921875,1,0.9541015625,1
1,0.787109375,1,0.7890625,1,0.7958984375,1,0.7958984375,1,0.7841796875,1
1,0.91015625,1,0.8603515625,1,0.919921875,1,0.869140625,1,0.9033203125,1
1,0.5498046875,1,0.5439453125,1,0.5478515625,1,0.548828125,1,0.55078125,1
0,0.998046875,1,0.9365234375,1,0.9990234375,1,0.9619140625,1,0.9833984375,1
1,0.2724609375,0,0.2939453125,0,0.28125,0,0.28125,0,0.2724609375,0
1,0.7392578125,1,0.71875,1,0.73828125,1,0.7236328125,1,0.7392578125,1
1,0.90234375,1,0.8603515625,1,0.888671875,1,0.876953125,1,0.896484375,1
1,0.787109375,1,0.7373046875,1,0.78125,1,0.7431640625,1,0.7822265625,1
1,0.8212890625,1,0.78515625,1,0.84375,1,0.798828125,1,0.8134765625,1
1,0.5498046875,1,0.5380859375,1,0.548828125,1,0.546875,1,0.5546875,1
0,0.150390625,0,0.19921875,0,0.142578125,0,0.1875,0,0.16015625,0
1,0.990234375,1,0.94140625,1,0.9921875,1,0.9501953125,1,0.98046875,1
1,0.486328125,0,0.4814453125,0,0.48828125,0,0.4765625,0,0.4853515625,0
